% k1,k2,"Time=1, timeint(0, 1,D )"
0.000000000000000,0.000000000000000,0.000000000000000
0.000000000000000,1.000000000000000,0.000000000000000
0.000000000000000,2.000000000000000,0.000000000000000
0.000000000000000,3.000000000000000,0.000000000000000
0.000000000000000,4.000000000000000,0.000000000000000
0.000000000000000,5.000000000000000,0.000000000000000
0.000000000000000,6.000000000000000,0.000000000000000
0.000000000000000,7.000000000000000,0.000000000000000
0.000000000000000,8.000000000000000,0.000000000000000
0.000000000000000,9.000000000000000,0.000000000000000
0.000000000000000,10.00000000000000,0.000000000000000
1.000000000000000,0.000000000000000,0.000000000000000
1.000000000000000,1.000000000000000,1.288633795367875E-3
1.000000000000000,2.000000000000000,1.485809435422374E-3
1.000000000000000,3.000000000000000,1.586611998375297E-3
1.000000000000000,4.000000000000000,1.649675516601800E-3
1.000000000000000,5.000000000000000,1.693438303668875E-3
1.000000000000000,6.000000000000000,1.725906564282961E-3
1.000000000000000,7.000000000000000,1.751177552919415E-3
1.000000000000000,8.000000000000000,1.771573952193991E-3
1.000000000000000,9.000000000000000,1.788509282806395E-3
1.000000000000000,10.00000000000000,1.814975557329745E-3
2.000000000000000,0.000000000000000,0.000000000000000
2.000000000000000,1.000000000000000,1.735198414860316E-3
2.000000000000000,2.000000000000000,1.946383101317160E-3
2.000000000000000,3.000000000000000,1.996110823250207E-3
2.000000000000000,4.000000000000000,2.047757293590933E-3
2.000000000000000,5.000000000000000,2.081126569111213E-3
2.000000000000000,6.000000000000000,2.104458953231914E-3
2.000000000000000,7.000000000000000,2.121433711463746E-3
2.000000000000000,8.000000000000000,2.134729622758391E-3
2.000000000000000,9.000000000000000,2.145750409472320E-3
2.000000000000000,10.00000000000000,2.154477905607620E-3
3.000000000000000,0.000000000000000,0.000000000000000
3.000000000000000,1.000000000000000,1.983159918751581E-3
3.000000000000000,2.000000000000000,2.173336859349679E-3
3.000000000000000,3.000000000000000,2.263353312961243E-3
3.000000000000000,4.000000000000000,2.313306633797857E-3
3.000000000000000,5.000000000000000,2.344626732331922E-3
