% Model,SOR optimaze.mph
% Version,COMSOL 6.0.0.318
% Date,"Apr 26 2023, 10:30"
% Table,Table intehrals 1D - Time integral
% k1,"Time=0.001, target"
0.000000000000000,0.000000000000000
1.000000000000000,2.297553123496655E-9
2.000000000000000,3.202245234380362E-9
3.000000000000000,3.850185659546445E-9
4.000000000000000,4.377712810639472E-9
5.000000000000000,4.832769296940462E-9
6.000000000000000,5.238445599698369E-9
7.000000000000000,5.607836408266187E-9
8.000000000000000,5.949169150323946E-9
9.000000000000000,6.267992888343316E-9
10.00000000000000,6.568250608053633E-9
11.00000000000000,6.852858564797359E-9
12.00000000000000,7.124043226382086E-9
13.00000000000000,7.383548858782328E-9
14.00000000000000,7.632771491228657E-9
15.00000000000000,7.872848739419115E-9
16.00000000000000,8.104721994579150E-9
17.00000000000000,8.329180672108130E-9
18.00000000000000,8.546894445422868E-9
19.00000000000000,8.758437214155165E-9
20.00000000000000,8.964305250734219E-9
21.00000000000000,9.164931160852320E-9
22.00000000000000,9.360694777911617E-9
23.00000000000000,9.551931774505801E-9
24.00000000000000,9.738940548616728E-9
25.00000000000000,9.921987788349800E-9
26.00000000000000,10.10131301206933E-9
27.00000000000000,10.27713230522112E-9
28.00000000000000,10.44964142083813E-9
29.00000000000000,10.61901837126487E-9
30.00000000000000,10.78542560951744E-9
31.00000000000000,10.94901187697161E-9
32.00000000000000,11.10991377772943E-9
33.00000000000000,11.26825712750380E-9
34.00000000000000,11.42415811529997E-9
35.00000000000000,11.57772430871777E-9
36.00000000000000,11.72905552786371E-9
37.00000000000000,11.87824460830405E-9
38.00000000000000,12.02537806980707E-9
39.00000000000000,12.17053670473929E-9
40.00000000000000,12.31379609762320E-9
41.00000000000000,12.45522708545266E-9
42.00000000000000,12.59489616684707E-9
43.00000000000000,12.73286586682001E-9
44.00000000000000,12.86919506292970E-9
45.00000000000000,13.00393927770321E-9
46.00000000000000,13.13715094149617E-9
47.00000000000000,13.26887962938505E-9
48.00000000000000,13.39917227514938E-9
49.00000000000000,13.52807336501063E-9
50.00000000000000,13.65562511341945E-9
51.00000000000000,13.78186762290082E-9
52.00000000000000,13.90683902965905E-9
53.00000000000000,14.03057563651122E-9
54.00000000000000,14.15311203444259E-9
55.00000000000000,14.27448121395480E-9
56.00000000000000,14.39471466726261E-9
57.00000000000000,14.51384248221775E-9
58.00000000000000,14.63189342877437E-9
59.00000000000000,14.74889503871126E-9
60.00000000000000,14.86487367924804E-9
61.00000000000000,14.97985462110394E-9
62.00000000000000,15.09386210151712E-9
63.00000000000000,15.20691938267618E-9
64.00000000000000,15.31904880594963E-9
65.00000000000000,15.43027184230138E-9
66.00000000000000,15.54060913918996E-9
67.00000000000000,15.65008056427386E-9
68.00000000000000,15.75870524616011E-9
69.00000000000000,15.86650161245413E-9
70.00000000000000,15.97348742532648E-9
71.00000000000000,16.07967981477752E-9
72.00000000000000,16.18509530979463E-9
73.00000000000000,16.28974986756254E-9
74.00000000000000,16.39365890085871E-9
75.00000000000000,16.49683730379262E-9
76.00000000000000,16.59929947598732E-9
77.00000000000000,16.70105934533230E-9
78.00000000000000,16.80213038940728E-9
79.00000000000000,16.90252565566946E-9
80.00000000000000,17.00225778047496E-9
81.00000000000000,17.10133900705194E-9
82.00000000000000,17.19978120246285E-9
83.00000000000000,17.29759587363157E-9
84.00000000000000,17.39479418250885E-9
85.00000000000000,17.49138696041771E-9
86.00000000000000,17.58738472165749E-9
87.00000000000000,17.68279767636325E-9
88.00000000000000,17.77763574273441E-9
89.00000000000000,17.87190855861319E-9
90.00000000000000,17.96562549249558E-9
91.00000000000000,18.05879565397709E-9
92.00000000000000,18.15142790369035E-9
93.00000000000000,18.24353086275996E-9
94.00000000000000,18.33511292178825E-9
95.00000000000000,18.42618224942677E-9
96.00000000000000,18.51674680052725E-9
97.00000000000000,18.60681432391742E-9
98.00000000000000,18.69639236982269E-9
99.00000000000000,18.78548829693258E-9
100.0000000000000,18.87410927916274E-9
101.0000000000000,18.96226231209916E-9
102.0000000000000,19.04995421916129E-9
103.0000000000000,19.13719165749964E-9
104.0000000000000,19.22398112362365E-9
105.0000000000000,19.31032895879140E-9
106.0000000000000,19.39624135418369E-9
107.0000000000000,19.48172435582510E-9
108.0000000000000,19.56678386933454E-9
109.0000000000000,19.65142566445379E-9
110.0000000000000,19.73565537939721E-9
111.0000000000000,19.81947852502879E-9
112.0000000000000,19.90290048886552E-9
113.0000000000000,19.98592653891546E-9
114.0000000000000,20.06856182737060E-9
115.0000000000000,20.15081139414875E-9
116.0000000000000,20.23268017030630E-9
117.0000000000000,20.31417298130456E-9
118.0000000000000,20.39529455016635E-9
119.0000000000000,20.47604950049570E-9
120.0000000000000,20.55644235940208E-9
121.0000000000000,20.63647756029827E-9
122.0000000000000,20.71615944560187E-9
123.0000000000000,20.79549226934376E-9
124.0000000000000,20.87448019966559E-9
125.0000000000000,20.95312732124787E-9
126.0000000000000,21.03143763761986E-9
