% Model,SOR optimaze — копия.mph
% Version,COMSOL 6.0.0.318
% Date,"May 27 2023, 13:52"
% Table,Table  - Integral
% light,k5,k9,target
2.100000000000000E-5,2.000000000000000E3,9.100000000000001E-4,1.498289540009870E-7
2.100000000000000E-5,3.000000000000000E3,1.000000000000000E-5,1.492086881626390E-7
2.100000000000000E-5,3.000000000000000E3,1.100000000000000E-4,1.492086881553623E-7
2.100000000000000E-5,3.000000000000000E3,2.100000000000000E-4,1.492086881480862E-7
2.100000000000000E-5,3.000000000000000E3,3.100000000000001E-4,1.492086881408101E-7
2.100000000000000E-5,3.000000000000000E3,4.100000000000001E-4,1.492086881335339E-7
2.100000000000000E-5,3.000000000000000E3,5.100000000000000E-4,1.492086881262575E-7
2.100000000000000E-5,3.000000000000000E3,6.100000000000001E-4,1.492086881189813E-7
2.100000000000000E-5,3.000000000000000E3,7.100000000000000E-4,1.492086881117045E-7
2.100000000000000E-5,3.000000000000000E3,8.100000000000001E-4,1.492086881044282E-7
2.100000000000000E-5,3.000000000000000E3,9.100000000000001E-4,1.492086880971523E-7
2.100000000000000E-5,4.000000000000000E3,1.000000000000000E-5,1.486114034900732E-7
2.100000000000000E-5,4.000000000000000E3,1.100000000000000E-4,1.486114034806620E-7
2.100000000000000E-5,4.000000000000000E3,2.100000000000000E-4,1.486114034712507E-7
2.100000000000000E-5,4.000000000000000E3,3.100000000000001E-4,1.486114034618390E-7
2.100000000000000E-5,4.000000000000000E3,4.100000000000001E-4,1.486114034524273E-7
2.100000000000000E-5,4.000000000000000E3,5.100000000000000E-4,1.486114034430155E-7
2.100000000000000E-5,4.000000000000000E3,6.100000000000001E-4,1.486114034336047E-7
2.100000000000000E-5,4.000000000000000E3,7.100000000000000E-4,1.486114034241939E-7
2.100000000000000E-5,4.000000000000000E3,8.100000000000001E-4,1.486114034147814E-7
2.100000000000000E-5,4.000000000000000E3,9.100000000000001E-4,1.486114034053700E-7
2.100000000000000E-5,5.000000000000000E3,1.000000000000000E-5,1.480351773460007E-7
2.100000000000000E-5,5.000000000000000E3,1.100000000000000E-4,1.480351773345689E-7
2.100000000000000E-5,5.000000000000000E3,2.100000000000000E-4,1.480351773231371E-7
2.100000000000000E-5,5.000000000000000E3,3.100000000000001E-4,1.480351773117052E-7
2.100000000000000E-5,5.000000000000000E3,4.100000000000001E-4,1.480351773002737E-7
2.100000000000000E-5,5.000000000000000E3,5.100000000000000E-4,1.480351772888422E-7
2.100000000000000E-5,5.000000000000000E3,6.100000000000001E-4,1.480351772774104E-7
2.100000000000000E-5,5.000000000000000E3,7.100000000000000E-4,1.480351772659786E-7
2.100000000000000E-5,5.000000000000000E3,8.100000000000001E-4,1.480351772545472E-7
2.100000000000000E-5,5.000000000000000E3,9.100000000000001E-4,1.480351772431155E-7
3.100000000000000E-5,2.000000000000000E3,1.000000000000000E-5,1.544224809131118E-7
3.100000000000000E-5,2.000000000000000E3,1.100000000000000E-4,1.544224809074621E-7
3.100000000000000E-5,2.000000000000000E3,2.100000000000000E-4,1.544224809018115E-7
3.100000000000000E-5,2.000000000000000E3,3.100000000000001E-4,1.544224808961616E-7
3.100000000000000E-5,2.000000000000000E3,4.100000000000001E-4,1.544224808905117E-7
3.100000000000000E-5,2.000000000000000E3,5.100000000000000E-4,1.544224808848613E-7
3.100000000000000E-5,2.000000000000000E3,6.100000000000001E-4,1.544224808792109E-7
3.100000000000000E-5,2.000000000000000E3,7.100000000000000E-4,1.544224808735610E-7
3.100000000000000E-5,2.000000000000000E3,8.100000000000001E-4,1.544224808679104E-7
3.100000000000000E-5,2.000000000000000E3,9.100000000000001E-4,1.544224808622603E-7
3.100000000000000E-5,3.000000000000000E3,1.000000000000000E-5,1.537588639056418E-7
3.100000000000000E-5,3.000000000000000E3,1.100000000000000E-4,1.537588638974773E-7
3.100000000000000E-5,3.000000000000000E3,2.100000000000000E-4,1.537588638893134E-7
3.100000000000000E-5,3.000000000000000E3,3.100000000000001E-4,1.537588638811488E-7
3.100000000000000E-5,3.000000000000000E3,4.100000000000001E-4,1.537588638729846E-7
3.100000000000000E-5,3.000000000000000E3,5.100000000000000E-4,1.537588638648208E-7
3.100000000000000E-5,3.000000000000000E3,6.100000000000001E-4,1.537588638566569E-7
3.100000000000000E-5,3.000000000000000E3,7.100000000000000E-4,1.537588638484921E-7
3.100000000000000E-5,3.000000000000000E3,8.100000000000001E-4,1.537588638403282E-7
3.100000000000000E-5,3.000000000000000E3,9.100000000000001E-4,1.537588638321630E-7
3.100000000000000E-5,4.000000000000000E3,1.000000000000000E-5,1.531218696734262E-7
3.100000000000000E-5,4.000000000000000E3,1.100000000000000E-4,1.531218696629147E-7
3.100000000000000E-5,4.000000000000000E3,2.100000000000000E-4,1.531218696524031E-7
3.100000000000000E-5,4.000000000000000E3,3.100000000000001E-4,1.531218696418913E-7
3.100000000000000E-5,4.000000000000000E3,4.100000000000001E-4,1.531218696313795E-7
3.100000000000000E-5,4.000000000000000E3,5.100000000000000E-4,1.531218696208670E-7
3.100000000000000E-5,4.000000000000000E3,6.100000000000001E-4,1.531218696103557E-7
3.100000000000000E-5,4.000000000000000E3,7.100000000000000E-4,1.531218695998436E-7
3.100000000000000E-5,4.000000000000000E3,8.100000000000001E-4,1.531218695893320E-7
3.100000000000000E-5,4.000000000000000E3,9.100000000000001E-4,1.531218695788206E-7
3.100000000000000E-5,5.000000000000000E3,1.000000000000000E-5,1.525090543354639E-7
3.100000000000000E-5,5.000000000000000E3,1.100000000000000E-4,1.525090543227486E-7
3.100000000000000E-5,5.000000000000000E3,2.100000000000000E-4,1.525090543100329E-7
3.100000000000000E-5,5.000000000000000E3,3.100000000000001E-4,1.525090542973169E-7
3.100000000000000E-5,5.000000000000000E3,4.100000000000001E-4,1.525090542846015E-7
