,light,target,name,time
80,7.999999999999999e-05,1.453589048090566e-07,start,2023-05-19 19:04:00
81,8.1e-05,1.450386740834487e-07,start,2023-05-19 19:04:00
82,8.2e-05,1.447173214578178e-07,start,2023-05-19 19:04:00
83,8.3e-05,1.443949484886276e-07,start,2023-05-19 19:04:00
84,8.4e-05,1.440716519627202e-07,start,2023-05-19 19:04:00
85,8.499999999999999e-05,1.437475241608683e-07,start,2023-05-19 19:04:00
86,8.6e-05,1.434226531040391e-07,start,2023-05-19 19:04:00
87,8.7e-05,1.430971227836824e-07,start,2023-05-19 19:04:00
88,8.8e-05,1.42771013377256e-07,start,2023-05-19 19:04:00
89,8.9e-05,1.424444014500137e-07,start,2023-05-19 19:04:00
90,8.999999999999999e-05,1.421173601441289e-07,start,2023-05-19 19:04:00
91,9.1e-05,1.417899593560361e-07,start,2023-05-19 19:04:00
92,9.2e-05,1.414622659028288e-07,start,2023-05-19 19:04:00
93,9.3e-05,1.411343436784246e-07,start,2023-05-19 19:04:00
94,9.4e-05,1.408062538004097e-07,start,2023-05-19 19:04:00
95,9.5e-05,1.404780547479626e-07,start,2023-05-19 19:04:00
96,9.6e-05,1.401498024916147e-07,start,2023-05-19 19:04:00
97,9.7e-05,1.398215506154541e-07,start,2023-05-19 19:04:00
98,9.8e-05,1.394933504321014e-07,start,2023-05-19 19:04:00
99,9.9e-05,1.391652510911199e-07,start,2023-05-19 19:04:00
100,0.0001,1.388372996811764e-07,start,2023-05-19 19:04:00
101,0.0001,1.388372996811765e-07,continue,2023-05-19 19:52:00
102,0.000109,1.358992587257793e-07,continue,2023-05-19 19:52:00
103,0.000118,1.330030042098425e-07,continue,2023-05-19 19:52:00
104,0.000127,1.301672593885793e-07,continue,2023-05-19 19:52:00
105,0.000136,1.274049543209256e-07,continue,2023-05-19 19:52:00
106,0.000145,1.247249185010004e-07,continue,2023-05-19 19:52:00
107,0.000154,1.221329951508548e-07,continue,2023-05-19 19:52:00
108,0.000163,1.196304173598464e-07,continue,2023-05-19 19:52:00
109,0.000172,1.172235878447546e-07,continue,2023-05-19 19:52:00
110,0.000181,1.149110017405809e-07,continue,2023-05-19 19:52:00
111,0.00019,1.126920832451489e-07,continue,2023-05-19 19:52:00
112,0.000199,1.105658750956813e-07,continue,2023-05-19 19:52:00
